actual_group Louvain_group infoMap_group node_name
4 5 1 413
4 5 1 291
4 5 1 457
4 5 1 568
4 5 1 544
4 5 1 611
4 5 1 294
4 5 1 572
4 5 1 484
4 5 1 542
4 5 1 563
4 5 1 822
4 5 1 714
4 5 1 813
4 5 1 936
4 5 1 523
4 5 1 399
4 5 1 840
4 5 1 403
4 5 1 270
4 5 1 706
4 5 1 585
4 5 1 556
4 5 1 600
4 5 1 789
4 5 1 623
4 5 1 909
4 5 1 664
4 5 1 694
4 5 1 1000
4 5 1 276
4 5 1 791
4 5 1 705
4 5 1 835
4 5 1 522
4 5 1 817
4 5 1 534
4 5 1 836
4 5 1 574
4 5 1 829
4 5 1 874
4 5 1 938
4 5 1 688
4 5 1 790
4 5 1 910
4 5 1 965
4 5 1 992
4 5 10 802
4 7 1 167
4 7 1 206
4 7 1 201
4 7 1 199
4 7 1 95
4 7 1 197
4 7 1 200
4 7 1 198
4 7 1 207
4 7 1 203
4 7 1 202
4 7 1 749
4 7 1 689
4 7 1 801
4 7 1 940
4 7 2 850
4 8 6 959
4 8 6 961
4 15 17 567
4 15 17 843
4 30 32 732
4 31 33 744
5 5 1 861
5 7 1 128
5 7 1 820
5 7 1 41
5 7 1 51
5 7 1 94
5 7 1 593
5 7 1 196
5 7 1 204
5 7 1 917
5 7 1 776
5 7 1 908
5 7 1 205
5 7 1 918
5 7 1 974
5 7 1 955
5 7 1 751
5 7 1 970
6 0 5 745
6 1 3 610
6 1 3 619
6 3 1 491
6 3 2 255
6 3 2 490
6 3 2 548
6 3 2 453
6 3 2 127
6 3 2 117
6 3 2 642
6 3 2 647
6 3 2 472
6 3 2 837
6 3 2 834
6 3 10 1003
6 3 12 613
6 4 1 686
6 5 1 939
6 8 5 537
6 8 6 782
6 8 6 659
6 8 6 948
6 8 6 960
6 14 5 616
6 14 15 435
6 14 15 942
6 28 18 995
7 3 2 853
7 8 6 377
7 8 6 393
7 8 6 295
7 8 6 61
7 8 6 181
7 8 6 60
7 8 6 296
7 8 6 321
7 8 6 379
7 8 6 320
7 8 6 376
7 8 6 368
7 8 6 103
7 8 6 390
7 8 6 182
7 8 6 380
7 8 6 389
7 8 6 395
7 8 6 397
7 8 6 387
7 8 6 394
7 8 6 150
7 8 6 381
7 8 6 250
7 8 6 104
7 8 6 52
7 8 6 388
7 8 6 385
7 8 6 378
7 8 6 391
7 8 6 392
7 8 6 719
7 8 6 384
7 8 6 396
7 8 6 841
7 8 6 947
7 8 6 869
7 8 6 386
7 8 6 628
7 8 6 741
7 8 6 382
7 8 6 383
7 8 6 398
7 8 6 632
7 8 6 868
7 8 6 761
7 8 6 943
7 8 6 985
7 19 22 653
7 33 17 772
8 3 2 329
8 3 2 357
8 3 2 356
8 3 10 375
8 3 10 143
8 3 10 258
8 3 10 108
8 3 10 478
8 3 10 66
8 3 10 90
8 3 10 328
8 3 10 112
8 3 10 477
8 3 10 110
8 3 10 514
8 3 10 652
8 3 10 111
8 3 10 989
8 3 10 475
9 2 4 975
9 3 1 723
9 3 1 825
9 3 1 923
9 3 1 894
9 3 2 21
9 3 2 20
9 3 2 92
9 3 2 10
9 3 2 306
9 3 2 326
9 3 2 400
9 3 2 327
9 3 2 259
9 3 2 325
9 3 2 260
9 3 2 22
9 3 2 72
9 3 2 885
9 3 2 887
9 3 2 416
9 3 2 945
9 3 2 524
9 3 2 858
9 3 2 890
9 3 13 777
9 3 13 733
9 3 13 538
9 3 13 535
9 3 16 962
9 4 1 881
9 26 29 703
10 3 2 333
10 3 2 704
10 4 1 114
10 4 1 113
10 4 1 367
10 4 1 417
10 4 1 263
10 4 1 48
10 4 1 318
10 4 1 443
10 4 1 47
10 4 1 245
10 4 1 361
10 4 1 261
10 4 1 151
10 4 1 423
10 4 1 171
10 4 1 229
10 4 1 444
10 4 1 370
10 4 1 547
10 4 1 485
10 4 1 847
10 4 1 76
10 4 1 981
10 4 1 976
10 4 1 75
10 4 1 442
10 4 1 925
10 4 1 753
10 4 1 527
10 4 1 725
10 4 1 119
10 4 1 919
10 4 1 895
10 4 1 757
10 4 1 983
10 4 1 795
10 4 1 897
11 4 1 28
11 4 1 23
11 4 1 30
11 4 1 40
11 4 1 35
11 4 1 27
11 4 1 29
11 4 1 31
11 4 1 38
11 4 1 36
11 4 1 24
11 4 1 32
11 4 1 37
11 4 1 26
11 4 1 25
11 4 1 34
11 4 1 39
11 4 1 33
11 4 1 590
11 4 1 588
11 4 1 545
11 4 1 953
11 4 1 721
11 4 1 878
11 4 1 964
11 4 1 722
11 4 1 785
11 4 1 997
11 4 1 915
12 3 2 427
12 4 1 470
12 4 1 980
13 0 5 330
13 4 1 115
13 4 1 169
13 4 1 165
13 4 1 170
13 4 1 438
13 4 1 116
13 4 1 338
13 4 1 339
13 4 1 337
13 4 1 251
13 4 1 123
13 4 1 437
13 4 1 135
13 4 1 336
13 4 1 136
13 4 1 860
13 4 1 900
13 4 1 914
13 4 1 816
13 4 1 883
13 4 1 609
13 4 1 978
13 4 1 436
13 4 1 439
13 4 2 724
14 2 4 44
14 2 4 498
14 2 4 141
14 2 4 11
14 2 4 19
14 2 4 7
14 2 4 362
14 2 4 856
14 2 4 506
14 2 4 12
14 2 4 358
14 2 4 430
14 2 4 213
14 2 4 466
14 2 4 499
14 2 4 441
14 2 4 661
14 2 4 504
14 2 4 265
14 2 4 452
14 2 4 421
14 2 4 525
14 2 4 569
14 2 4 264
14 2 4 8
14 2 4 161
14 2 4 707
14 2 4 9
14 2 4 529
14 2 4 359
14 2 4 266
14 2 4 608
14 2 4 360
14 2 4 700
14 2 4 406
14 2 4 332
14 2 4 754
14 2 4 823
14 2 4 720
14 2 4 407
14 2 4 496
14 2 4 602
14 2 4 502
14 2 4 922
14 2 4 699
14 2 4 666
14 2 4 573
14 2 4 500
14 2 4 293
14 2 4 913
14 2 4 566
14 2 4 570
14 2 4 510
14 2 4 765
14 2 4 267
14 2 4 674
14 2 4 246
14 2 4 247
14 2 4 324
14 2 4 374
14 2 4 487
14 2 4 451
14 2 4 956
14 2 4 957
14 2 4 555
14 2 4 488
14 2 4 43
14 2 4 503
14 2 4 565
14 2 4 501
14 2 4 530
14 2 4 951
14 2 4 672
14 2 4 558
14 2 4 649
14 2 4 505
14 2 4 804
14 2 4 833
14 2 4 729
14 2 4 912
14 2 4 967
14 2 4 805
14 2 4 893
14 2 4 996
14 2 4 827
14 2 4 830
14 2 4 973
14 3 2 249
14 3 2 365
14 3 2 739
14 5 1 998
14 20 23 658
15 2 4 778
15 2 4 972
15 3 1 818
15 3 2 81
15 3 2 473
15 3 2 184
15 3 2 474
15 3 2 549
15 3 2 69
15 3 2 189
15 3 2 187
15 3 2 509
15 3 2 68
15 3 2 480
15 3 2 188
15 3 2 747
15 3 2 190
15 3 2 508
15 3 2 418
15 3 2 667
15 3 2 550
15 3 2 299
15 3 2 467
15 3 2 287
15 3 2 690
15 3 2 710
15 3 2 551
15 3 2 582
15 3 2 663
15 3 2 298
15 3 2 536
15 3 2 627
15 3 2 678
15 3 2 540
15 3 2 952
15 3 2 877
15 3 2 799
15 3 2 800
15 3 2 715
15 3 2 855
15 3 2 713
15 3 2 969
15 3 2 911
15 3 2 968
15 3 2 999
15 3 2 780
15 3 5 146
15 3 5 779
15 3 10 91
15 3 10 67
15 3 10 476
15 3 16 958
15 5 1 873
15 8 6 595
15 32 34 746
16 1 3 842
16 3 9 371
16 3 9 404
16 9 9 100
16 9 9 124
16 9 9 353
16 9 9 323
16 9 9 101
16 9 9 97
16 9 9 125
16 9 9 99
16 9 9 98
16 9 9 185
16 9 9 662
16 9 9 708
16 9 9 640
16 9 9 768
16 9 9 354
16 9 9 618
16 9 9 937
16 9 9 687
16 9 9 935
16 9 9 709
16 9 9 770
16 16 19 580
17 1 3 854
17 3 2 796
17 6 7 269
17 6 7 46
17 6 7 15
17 6 7 164
17 6 7 272
17 6 7 45
17 6 7 448
17 6 7 139
17 6 7 140
17 6 7 429
17 6 7 592
17 6 7 447
17 6 7 216
17 6 7 273
17 6 7 428
17 6 7 322
17 6 7 335
17 6 7 446
17 6 7 461
17 6 7 274
17 6 7 334
17 6 7 579
17 6 7 933
17 6 7 929
17 6 7 760
17 6 7 617
17 6 7 735
17 6 7 819
17 6 7 676
17 6 7 794
17 6 7 657
17 9 9 838
17 21 24 660
18 3 2 767
19 1 3 564
19 1 3 599
19 3 8 210
19 3 8 233
19 11 8 209
19 11 8 243
19 11 8 236
19 11 8 158
19 11 8 234
19 11 8 238
19 11 8 963
19 11 8 159
19 11 8 242
19 11 8 237
19 11 8 244
19 11 8 235
19 11 8 241
19 11 8 240
19 11 8 930
19 11 8 931
19 11 8 926
19 11 8 927
19 11 8 239
19 11 8 319
19 11 8 639
19 11 8 637
19 11 8 631
19 11 8 977
19 11 8 879
20 1 3 252
20 1 3 303
20 1 3 89
20 1 3 304
20 1 3 88
20 1 3 302
20 1 3 924
20 1 3 369
20 1 3 806
20 1 3 630
20 1 3 750
20 4 1 96
20 7 3 740
20 35 36 808
21 1 3 63
21 1 3 58
21 1 3 4
21 1 3 2
21 1 3 137
21 1 3 412
21 1 3 3
21 1 3 57
21 1 3 305
21 1 3 281
21 1 3 520
21 1 3 59
21 1 3 408
21 1 3 685
21 1 3 56
21 1 3 194
21 1 3 286
21 1 3 195
21 1 3 138
21 1 3 845
21 1 3 193
21 1 3 880
21 1 3 832
21 1 3 826
21 1 3 192
21 1 3 815
21 1 3 803
21 1 3 586
21 1 3 990
21 1 3 921
21 1 3 587
21 1 3 571
21 1 3 532
21 1 3 865
21 1 3 1001
21 1 3 635
21 1 3 625
21 1 3 718
21 1 3 849
21 1 3 634
21 1 3 636
21 1 3 755
21 1 3 762
21 1 3 774
21 1 3 863
21 1 3 884
21 1 3 899
21 1 3 901
21 1 3 928
21 1 3 982
21 1 3 993
21 1 3 994
21 3 2 456
21 3 2 882
21 3 2 606
21 11 8 622
21 17 20 633
21 18 21 648
21 22 25 670
21 25 28 691
21 27 30 711
22 1 2 866
22 1 2 898
22 1 3 211
22 1 3 285
22 1 3 54
22 1 3 809
22 1 3 481
22 1 3 55
22 1 3 552
22 1 3 208
22 1 3 738
22 1 3 126
22 1 3 698
22 1 3 949
22 1 3 604
22 1 3 683
22 1 3 646
22 1 3 988
22 1 3 1004
22 3 2 728
22 3 10 469
22 4 1 455
22 4 1 987
22 4 1 986
22 10 13 867
23 0 5 979
23 3 2 495
23 3 2 147
23 3 2 748
23 3 2 589
23 3 2 230
23 3 2 541
23 3 2 641
23 3 2 597
23 3 2 465
23 3 2 730
23 3 2 279
23 3 2 591
23 3 2 783
23 3 2 786
23 3 2 669
23 3 2 596
23 3 2 512
23 3 2 906
23 3 2 742
23 3 2 673
23 3 2 944
23 3 2 946
23 3 5 695
23 3 5 519
23 14 15 793
23 14 15 920
24 1 5 717
24 1 5 788
24 3 2 163
24 3 2 821
24 3 2 792
24 3 12 614
25 1 1 5
25 1 3 6
25 1 11 644
25 1 11 528
25 3 1 64
25 3 2 489
26 3 1 624
26 3 2 420
26 3 2 118
26 3 2 651
26 4 1 13
26 4 1 301
26 4 1 409
26 7 2 677
26 8 8 810
27 3 2 355
27 3 2 153
27 3 2 577
27 3 2 410
27 3 2 454
27 3 2 559
27 3 2 736
27 3 2 769
27 3 2 578
27 3 10 109
28 1 3 411
28 1 3 271
28 1 3 132
28 1 3 131
28 1 3 807
28 1 3 737
28 1 3 784
28 1 3 864
29 1 1 716
29 3 2 80
29 3 2 671
29 3 2 679
29 3 2 966
30 1 3 876
30 3 2 462
30 3 2 463
30 3 2 701
31 0 5 560
31 0 8 507
31 3 2 253
31 3 2 726
31 3 2 471
31 3 5 759
31 3 10 831
31 4 1 875
32 1 3 859
32 1 3 174
32 1 3 812
32 1 3 665
32 1 3 175
32 1 3 886
32 1 3 991
32 1 3 888
32 2 4 971
33 5 1 870
34 1 1 763
34 3 2 434
34 3 2 87
34 3 2 105
34 3 2 212
34 3 2 424
34 3 2 16
34 3 2 42
34 3 2 460
34 3 2 607
34 3 2 561
34 3 2 787
34 24 27 684
35 3 2 533
35 3 2 546
35 3 2 155
35 3 2 145
35 3 2 518
35 3 2 615
35 3 2 363
35 3 2 513
35 3 2 154
35 3 2 422
35 3 2 954
35 3 2 934
35 3 10 984
36 3 1 86
36 3 1 494
36 3 2 160
36 3 2 121
36 3 2 107
36 3 2 62
36 3 2 82
36 3 2 166
36 3 2 283
36 3 2 282
36 3 2 142
36 3 2 83
36 3 2 366
36 3 2 932
36 3 2 373
36 3 2 950
36 3 2 601
36 3 2 372
36 3 2 594
36 3 2 693
36 3 2 752
36 3 12 49
37 3 2 84
37 3 2 152
37 3 2 162
37 3 2 612
37 3 2 654
37 3 2 364
37 3 12 288
37 3 12 433
37 3 12 217
37 3 12 431
37 3 12 70
37 3 12 71
37 3 12 50
37 3 12 643
37 3 12 432
38 1 3 102
38 3 2 106
38 3 2 405
38 3 2 173
38 3 2 300
38 3 2 896
38 3 2 828
38 3 2 892
38 3 2 638
38 3 2 771
38 3 2 889
38 3 2 891
38 3 2 773
39 0 5 268
39 0 5 331
39 3 5 756
40 3 2 254
40 3 2 492
40 3 2 186
40 3 2 144
41 0 5 758
41 3 2 941
